is_fake_news,fake_news_category,tweet_id,created_at,retweet_count,text,user_screen_name,user_verified,user_friends_count,user_followers_count,user_favourites_count,tweet_source,geo_coordinates,num_hashtags,num_mentions,num_urls,num_media
FALSE,NA,264033382076407808,Thu Nov 01 15:57:18 +0000 2012,4698,@realDonaldTrump you are full of shit!,RalphGilles,TRUE,763,26680,3079,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,2,0,0
FALSE,NA,265895586660757505,Tue Nov 06 19:17:02 +0000 2012,9646,@realDonaldTrump you're fucking retarded,TimmyWait,FALSE,839,397,504,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,2,0,0
FALSE,NA,265895723445411841,Tue Nov 06 19:17:35 +0000 2012,1823,@realDonaldTrump You are the stupidest man on planet earth.,mattcale52,FALSE,1184,1353,3355,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,2,0,0
FALSE,NA,265896172726661120,Tue Nov 06 19:19:22 +0000 2012,1168,"@realDonaldTrump I am continually amazed and terribly inspired by you!   If such an idiot can make a ton of money, here's hope for me yet!",MichaelWHill,FALSE,1603,704,1479,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,0,2,0,0
FALSE,NA,266042962650226688,Wed Nov 07 05:02:39 +0000 2012,1979,Hey @realDonaldTrump You Mad Bro?,ThePresObama,FALSE,135,70218,931,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,2,0,0
FALSE,NA,291941831476920321,Thu Jan 17 16:15:31 +0000 2013,14030,@realDonaldTrump Go fuck yourself.,Deadspin,TRUE,1558,1021455,67,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,2,0,0
FALSE,NA,299530972087599105,Thu Feb 07 14:52:03 +0000 2013,7010,"@realDonaldTrump If you hate America so much, you should run for President and fix things",Russ_Steinberg,FALSE,971,2014,5784,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,2,0,0
FALSE,NA,331907859916922880,Tue May 07 23:06:15 +0000 2013,1187,@realDonaldTrump you asshole STFU abt military you know NOTHING. Men like YOU assault &amp; think it's a woman's fault. As a VET you sicken me,FishHawkRdJody,FALSE,1460,1692,1193,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",0,0,2,0,0
FALSE,NA,365694278845997057,Fri Aug 09 04:41:25 +0000 2013,1010,'@arcuate: dude that's freaking cool as heck RT @realDonaldTrump wind turbine blades will slice 14 million birds and bats to death in 10 yrs,realDonaldTrump,TRUE,41,13053956,45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,3,0,0
FALSE,NA,377947866641485824,Thu Sep 12 00:12:48 +0000 2013,6280,"“@realDonaldTrump: I would like to extend my best wishes to all, even the haters and losers, on this special date, September 11th.”",realDonaldTrump,TRUE,41,13029867,45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,2,0,0
FALSE,NA,388618880605646848,Fri Oct 11 10:55:36 +0000 2013,1629,Beautiful morning walk in Hyde Park #London with @HillaryClinton. http://t.co/0aQNITRkvA,billclinton,TRUE,26,6252982,60,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,1,2,0,1
FALSE,NA,427956124411641856,Tue Jan 28 00:07:45 +0000 2014,1325,Retweet if you Agree w/ @HillaryClinton: http://t.co/cjmOvmyKkV #HillaryClinton @Faith4Hillary @VOTE_HILLARY @VOTE_CLINTON @ReadyForHillary,VOTE_HILLARY,FALSE,14562,13669,386,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1,1,2,0,1
FALSE,NA,440331541580099584,Mon Mar 03 03:43:15 +0000 2014,1336,"'@johnnyhabit: @realDonaldTrump why the fuck do I even follow you? Because you're addicted to genius, asshole!",realDonaldTrump,TRUE,41,13079252,45,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,0,3,0,0
